depth(m),vp(m/s),vs(m/s),density(kg/m^3),Qp,Qs
408,2057.404311,751.195069,2087.813037,187.7987673,75.1195069
410,2063.133401,755.738693,2089.264964,188.9346733,75.5738693
412,2069.157123,760.449032,2090.788301,190.112258,76.0449032
414,2075.457938,765.318284,2092.378158,191.329571,76.5318284
416,2082.017373,770.33872,2094.02943,192.58468,77.033872
418,2088.816399,775.502814,2095.736904,193.8757035,77.5502814
420,2095.835728,780.803238,2097.495336,195.2008095,78.0803238
422,2103.055998,786.232717,2099.299503,196.5581793,78.6232717
424,2110.457855,791.783704,2101.144229,197.945926,79.1783704
426,2118.021892,797.447867,2103.024368,199.3619668,79.7447867
428,2125.728458,803.215357,2104.934763,200.8038393,80.3215357
430,2133.557308,809.073834,2106.870159,202.2684585,80.9073834
432,2141.487622,815.008239,2108.825216,203.7520598,81.5008239
434,2149.499812,821.003914,2110.794951,205.2509785,82.1003914
436,2157.576156,827.047596,2112.774893,206.761899,82.7047596
438,2165.700936,833.127522,2114.761108,208.2818805,83.3127522
440,2173.860539,839.233509,2116.75022,209.8083773,83.9233509
442,2182.043542,845.357006,2118.73942,211.3392515,84.5357006
444,2190.240759,851.491139,2120.726474,212.8727848,85.1491139
446,2198.445283,857.63074,2122.709722,214.407685,85.763074
448,2206.652499,863.772357,2124.688075,215.9430893,86.3772357
450,2214.8601,869.91426,2126.661009,217.478565,86.991426
452,2223.067316,876.055876,2128.628376,219.013969,87.6055876
454,2231.271839,882.195478,2130.58966,220.5488695,88.2195478
456,2239.469057,888.329611,2132.543803,222.0824028,88.8329611
458,2247.65206,894.453108,2134.489214,223.613277,89.4453108
460,2255.811663,900.559094,2136.42378,225.1397735,90.0559094
462,2263.936442,906.639021,2138.344881,226.6597553,90.6639021
464,2272.012786,912.682703,2140.249413,228.1706758,91.2682703
466,2280.024976,918.678378,2142.133805,229.6695945,91.8678378
468,2287.955291,924.612783,2143.994057,231.1531958,92.4612783
470,2295.784141,930.47126,2145.825771,232.617815,93.047126
472,2303.492929,936.23891,2147.624821,234.0597275,93.623891
474,2311.073446,941.904266,2149.389539,235.4760665,94.1904266
476,2318.526824,947.458983,2151.120431,236.8647458,94.7458983
478,2325.860149,952.896647,2152.819374,238.2241618,95.2896647
480,2333.083758,958.21186,2154.488977,239.552965,95.821186
482,2340.20916,963.39958,2156.132086,240.849895,96.339958
484,2347.247488,968.454685,2157.751437,242.1136713,96.8454685
486,2354.208444,973.371726,2159.349409,243.3429315,97.3371726
488,2361.099644,978.144864,2160.92788,244.536216,97.8144864
490,2367.926329,982.767945,2162.488171,245.6919863,98.2767945
492,2374.691375,987.234705,2164.031049,246.8086763,98.7234705
494,2381.395553,991.539074,2165.556796,247.8847685,99.1539074
496,2388.037982,995.675556,2167.065316,248.918889,99.5675556
498,2394.616742,999.639667,2168.556278,249.9099168,99.9639667
500,2401.129581,1003.4284,2170.029278,250.8571,100.34284
502,2407.574685,1007.040702,2171.484011,251.7601755,100.7040702
504,2413.95146,1010.477922,2172.920449,252.6194805,101.0477922
506,2420.261266,1013.744218,2174.339004,253.4360545,101.3744218
508,2426.508086,1016.846891,2175.740668,254.2117228,101.6846891
510,2432.699047,1019.796605,2177.127132,254.9491513,101.9796605
512,2438.844766,1022.607475,2178.500848,255.6518688,102.2607475
514,2444.959462,1025.296973,2179.865056,256.3242433,102.5296973
516,2451.060769,1027.885629,2181.223729,256.9714073,102.7885629
518,2457.169204,1030.396469,2182.58145,257.5991173,103.0396469
520,2463.307218,1032.854155,2183.943198,258.2135388,103.2854155
522,2469.497765,1035.283775,2185.314026,258.8209438,103.5283775
524,2475.762313,1037.709229,2186.698619,259.4273073,103.7709229
526,2482.118225,1040.151155,2188.100723,260.0377888,104.0151155
528,2488.575417,1042.624324,2189.522415,260.656081,104.2624324
530,2495.132202,1045.134447,2190.963205,261.2836118,104.5134447
532,2501.773966,1047.677102,2192.419777,261.9192755,104.7677102
534,2508.484302,1050.246008,2193.888445,262.561502,105.0246008
536,2515.248367,1052.835483,2195.365893,263.2088708,105.2835483
538,2522.052998,1055.440488,2196.849198,263.860122,105.5440488
540,2528.886795,1058.056659,2198.335843,264.5141648,105.8056659
542,2535.740189,1060.680332,2199.823729,265.170083,106.0680332
544,2542.605489,1063.308562,2201.311178,265.8271405,106.3308562
546,2549.476907,1065.939135,2202.79694,266.4847838,106.5939135
548,2556.35058,1068.570572,2204.280187,267.142643,106.8570572
550,2563.224575,1071.202131,2205.760516,267.8005328,107.1202131
552,2570.098249,1073.833568,2207.237801,268.458392,107.3833568
554,2576.969667,1076.464141,2208.711643,269.1160353,107.6464141
556,2583.834966,1079.092371,2210.181231,269.7730928,107.9092371
558,2590.68836,1081.716044,2211.645353,270.429011,108.1716044
560,2597.522157,1084.332214,2213.102399,271.0830535,108.4332214
562,2604.326788,1086.937219,2214.550373,271.7343048,108.6937219
564,2611.090854,1089.526695,2215.986905,272.3816738,108.9526695
